method,path,in_burp,burp_hits,burp_statuses,swagger_tag,swagger_summary
POST,/api/v1/MaintenanceProduct/Submit,yes,1,200,MaintenanceProduct,保养服务配置提交
POST,/api/v1/OpenApi/CancelPushSuitCareInsurance,yes,1,401,OpenApi,套装Care取消推送接口(用于开放网关接口)
POST,/api/v1/OpenApi/InsuranceClaim,yes,1,401,OpenApi,"保险理赔 <br>统一保险理赔接口"
POST,/api/v1/OpenApi/PushSuitCareInsurance,yes,1,401,OpenApi,套装Care推送接口(用于开放网关接口)
POST,/api/v1/OpenApi/QueryInsuranceBySn,yes,1,401,OpenApi,"保险查询 <br>统一保险信息查询接口"
POST,/api/v1/PreLicensing/DeletePreLicensingSettingRule,yes,1,200,PreLicensing,删除预授权规则配置
GET,/api/v1/PreLicensing/LoadPreLicensingSettingRule,yes,1,200,PreLicensing,获取预授权配置规则列表
POST,/api/v1/PreLicensing/SubmitPreLicensingSettingRule,yes,1,200,PreLicensing,新增或修改预授权规则配置
POST,/api/v1/PreventFraud/GenerateSnBingRecord,yes,1,200,PreventFraud,通过整机SN，生成部件SN清单记录(云后台使用)
POST,/api/v1/PropertyInsurance/CheckUploadSn,yes,1,500,PropertyInsurance,上报SN校验接口
POST,/api/v1/PropertyInsurance/InsuranceQuery,yes,1,500,PropertyInsurance,保险查询接口
POST,/api/v1/PropertyInsurance/PushInsurance,yes,1,500,PropertyInsurance,推送保险信息
POST,/api/v1/PropertyInsurance/RenewlInsuredExamine,yes,1,200,PropertyInsurance,农机续保校验
POST,/api/v1/PropertyInsurance/WhiteQuery,yes,1,500,PropertyInsurance,白名单查询接口
POST,/api/v1/PushInfoConfig/BatchIsEnable,yes,1,200,PushInfoConfig,批量启用停用
GET,/api/v1/PushInfoConfig/GetInsuranceTypeByCode,yes,1,200,PushInfoConfig,获取通过保险类型获取险种列表
GET,/api/v1/PushInfoConfig/GetPushApp,yes,1,200,PushInfoConfig,获取推送的App
GET,/api/v1/PushInfoConfig/GetPushConfigLanguage,yes,1,200,PushInfoConfig,获取去重后的语言类型
GET,/api/v1/PushInfoConfig/GetPushTypeCode,yes,1,200,PushInfoConfig,获取推送类型
GET,/api/v1/PushInfoConfig/GetWhiteListPushCombox,yes,1,200,PushInfoConfig,获取ro列表和已配置料号的机型
POST,/api/v1/PushInfoConfig/Query,yes,1,500,PushInfoConfig,查询推送配置
POST,/api/v1/PushInfoConfig/QueryInsuranceExpirationPromptJob,yes,1,500,PushInfoConfig,查询定时推送记录
POST,/api/v1/PushInfoConfig/QueryInsuranceExpirationPromptJobInfo,yes,1,500,PushInfoConfig,查询定时推送记录的推送明细
POST,/api/v1/PushInfoConfig/Save,yes,1,200,PushInfoConfig,保存推送配置
GET,/api/v1/PushInfoConfig/ServiceAgreementPreview,yes,1,200,PushInfoConfig,通过推送id预览推送模板
POST,/api/v1/PushInsurance/CompleteRetryPush,yes,1,200,PushInsurance,完成批量重推
POST,/api/v1/PushInsurance/DeliverSn,yes,1,200,PushInsurance,释放sn
POST,/api/v1/PushInsurance/GetPushInsuranceExtList,yes,1,200,PushInsurance,查询子记录数据
POST,/api/v1/PushInsurance/LoadPushInsuranceInfo,yes,1,200,PushInsurance,加载推送记录信息
POST,/api/v1/PushInsurance/SeacrhPageList,yes,1,500,PushInsurance,加载推送记录表
POST,/api/v1/PushInsurance/UpdateRecord,yes,1,200,PushInsurance,更新指定推送记录
POST,/api/v1/Repair/ExportRepair,yes,1,200,Repair,理赔记录批量异步导出
POST,/api/v1/Repair/ExportRepairInfo,yes,1,200,Repair,理赔记录导出
POST,/api/v1/Repair/ExportRepairInfoExt,yes,1,200,Repair,理赔记录导出(包含客户信息)
POST,/api/v1/Repair/LoadRepairInfo,yes,1,200,Repair,理赔记录列表查询
POST,/api/v1/Repair/RepairRebackConfirm,yes,1,200,Repair,理赔撤销执行（确认撤销）
POST,/api/v1/Repair/ReviewRepairReback,yes,1,200,Repair,理赔撤销执行（预撤销）
POST,/api/v1/RigthsMap/Delete,yes,1,200,RigthsMap,保险权益映射删除
POST,/api/v1/RigthsMap/Query,yes,1,500,RigthsMap,列表查询
POST,/api/v1/RigthsMap/Submit,yes,1,200,RigthsMap,保险权益映射提交
POST,/api/v1/ServiceAgreement/LoadServiceAgreementList,yes,1,500,ServiceAgreement,查询服务协议
GET,/api/v1/ServiceAgreement/ServiceAgreementPreview,yes,1,200,ServiceAgreement,服务协议预览
POST,/api/v1/ServiceAgreement/SubmitServiceAgreement,yes,1,200,ServiceAgreement,服务协议编辑
POST,/api/v1/SnBindRecord/BindingStatusModife,yes,1,200,SnBindRecord,停用保险与部件SN绑定记录
POST,/api/v1/SnBindRecord/DeleteInsuranceSnBinding,yes,1,200,SnBindRecord,删除保险与部件SN绑定记录
POST,/api/v1/SnBindRecord/InsuranceSnBinding,yes,1,200,SnBindRecord,新增、修改保险与部件SN绑定记录
POST,/api/v1/SnBindRecord/LoadCertNoCombox,yes,1,200,SnBindRecord,加载保单凭证号下拉框数据
POST,/api/v1/SnBindRecord/LoadInsuranceSnBindRecord,yes,1,500,SnBindRecord,查询保险与部件SN绑定记录
GET,/api/v1/SuitCare/InsuredByQueue,yes,1,200,SuitCare,"套装Care定时投保（队列） https://jira.djicorp.com/browse/CRM-18831"
POST,/api/v1/SuitCare/SnReplace,yes,1,200,SuitCare,CRM换货后进行SN替换
POST,/api/v1/ThirdInsurance/BindSnProduct,yes,1,200,ThirdInsurance,绑定产品与SN号
POST,/api/v1/ThirdInsurance/CareAuditSnAuditing,yes,1,500,ThirdInsurance,SN验证信息审核
POST,/api/v1/ThirdInsurance/CareAuditSnExport,yes,1,500,ThirdInsurance,验机审核导出
POST,/api/v1/ThirdInsurance/CareAuditSnSearchPage,yes,1,500,ThirdInsurance,验机审核分页查询
GET,/api/v1/ThirdInsurance/CurrencySelected,yes,1,200,ThirdInsurance,根据险种名称获取币种列表
POST,/api/v1/ThirdInsurance/DeleteAirType,yes,1,200,ThirdInsurance,删除机型
POST,/api/v1/ThirdInsurance/DeleteMultiYearProductTypeMap,yes,1,200,ThirdInsurance,删除两年期保险映射关系配置
POST,/api/v1/ThirdInsurance/DeleteSnProduct,yes,1,200,ThirdInsurance,删除绑定产品与SN号
POST,/api/v1/ThirdInsurance/ExportInsuranceList,yes,1,500,ThirdInsurance,非DJI赔付保险列表-导出
POST,/api/v1/ThirdInsurance/ExportInsuranceListEncryt,yes,1,500,ThirdInsurance,非DJI赔付保险列表导出(SWS加密)
POST,/api/v1/ThirdInsurance/ExportInsurancePremium,yes,1,200,ThirdInsurance,非DJI赔付导出（含保费）
POST,/api/v1/ThirdInsurance/GetCountryCodeList,yes,1,200,ThirdInsurance,获取国家编码列表
POST,/api/v1/ThirdInsurance/GetExchangeList,yes,1,500,ThirdInsurance,获取汇率列表
POST,/api/v1/ThirdInsurance/GetProductType,yes,1,200,ThirdInsurance,获取保险产品型号集合
POST,/api/v1/ThirdInsurance/GetSnConfigList,yes,1,500,ThirdInsurance,获取SN配置列表
POST,/api/v1/ThirdInsurance/GetTIElePolicyUrl,yes,1,200,ThirdInsurance,获取非DJI赔付保险电子保单地址
GET,/api/v1/ThirdInsurance/GetTotalAuditSnInfoById,yes,1,200,ThirdInsurance,获取完整不加密的海外验机信息
GET,/api/v1/ThirdInsurance/InsuranceCompanyList,yes,1,200,ThirdInsurance,获取保险公司集合
GET,/api/v1/ThirdInsurance/InsuranceNameSelected,yes,1,200,ThirdInsurance,根据保险类型（TypeCode）获取险种名称
POST,/api/v1/ThirdInsurance/LoadAirType,yes,1,500,ThirdInsurance,加载机型列表
GET,/api/v1/ThirdInsurance/LoadEnum,yes,1,200,ThirdInsurance,加载VASC相关枚举
GET,/api/v1/ThirdInsurance/LoadRightsDescription,yes,1,200,ThirdInsurance,获取基础权益服务
GET,/api/v1/ThirdInsurance/LoadRoList,yes,1,200,ThirdInsurance,加载所有RO
GET,/api/v1/ThirdInsurance/ProductLevelComboxData,yes,1,200,ThirdInsurance,保养类型下拉框数据
POST,/api/v1/ThirdInsurance/SearchMultiYearProductTypeMap,yes,1,500,ThirdInsurance,查询两年期保险映射关系配置
POST,/api/v1/ThirdInsurance/SearchTIPageList,yes,1,500,ThirdInsurance,非DJI赔付保险列表查询
POST,/api/v1/ThirdInsurance/SettingTIPremiumStatus,yes,1,200,ThirdInsurance,设置保费状态为外部异常状态
POST,/api/v1/ThirdInsurance/SubmitAirType,yes,1,500,ThirdInsurance,新增/修改机型
POST,/api/v1/ThirdInsurance/SubmitExchangeRate,yes,1,500,ThirdInsurance,汇率管理(add或update)
POST,/api/v1/ThirdInsurance/SubmitMultiYearProductTypeMap,yes,1,200,ThirdInsurance,新增、修改两年期保险映射关系配置
POST,/api/v1/ThirdInsurance/UpdateCareExtInfoPlus,yes,1,200,ThirdInsurance,更改非DJI赔付保险客户信息
POST,/api/v1/ThirdInsurance/UpdateSnProduct,yes,1,200,ThirdInsurance,修改产品与SN号
POST,/api/v1/UseDJICare/BalanceInquiry,yes,1,200,UseDJICare,余额查询
POST,/api/v1/UseDJICare/BalanceInquiryExtend,yes,1,200,UseDJICare,"余额查询扩展接口 <br>在原有余额查询基础上增加查询SN是否可以购买新品Care及续保"
POST,/api/v1/UseDJICare/BindingSendVerification,no,0,,UseDJICare,"发送验证码（短信/邮箱） <br>身份验证：发送至客户库中登记的手机/邮箱<br>换绑验证：发送至入参 Contact 指定的新手机/新邮箱"
POST,/api/v1/UseDJICare/CheckSupportPreLicensing,yes,1,200,UseDJICare,检测SN或保险型号是否支持预授权
POST,/api/v1/UseDJICare/FindAllContInsurance,yes,1,200,UseDJICare,是否多条在保
GET,/api/v1/UseDJICare/FindInsByCertNo,yes,1,200,UseDJICare,根据保险凭证号查询保险信息
GET,/api/v1/UseDJICare/GetAgreementHtml,yes,1,200,UseDJICare,获取服务协议
GET,/api/v1/UseDJICare/GetHistory,yes,1,200,UseDJICare,获取历史记录
POST,/api/v1/UseDJICare/LoadAgreementHtml,yes,1,200,UseDJICare,获取服务详细内容协议
POST,/api/v1/UseDJICare/QueryAllBlance,yes,1,200,UseDJICare,给极速用查询是否有保险
POST,/api/v1/UseDJICare/QueryBindingInfo,no,0,,UseDJICare,"保单绑定详情查询 <br>根据保险Id查询客户姓名、手机、邮箱及保单基础信息，联系信息以 AES 加密字段返回"
POST,/api/v1/UseDJICare/QuerySuitCare,no,0,,UseDJICare,查询有效的套装Care
POST,/api/v1/UseDJICare/SNUpload,yes,1,200,UseDJICare,海外验机记录上传
POST,/api/v1/UseDJICare/SearchCareForCRM,yes,1,200,UseDJICare,CRM上查询保险
POST,/api/v1/UseDJICare/SearchCareForRefresh,yes,1,200,UseDJICare,极速换新查询Care
POST,/api/v1/UseDJICare/SearchCareForSelf,yes,1,200,UseDJICare,自助查询是否有保险
POST,/api/v1/UseDJICare/SearchCustomerBlacklist,yes,1,200,UseDJICare,根据用户邮箱或电话校验是否存在有效的黑名单记录
POST,/api/v1/UseDJICare/SearchSuitCareForCRM,yes,1,200,UseDJICare,给CRM查询是否有套装Care
POST,/api/v1/UseDJICare/SearchVirtualCare,yes,1,200,UseDJICare,根据虚拟扣减次数二次查询保险
GET,/api/v1/UseDJICare/ShieldPlusOriginalNoDetailsQuery,yes,1,200,UseDJICare,极享原单详情查询
POST,/api/v1/UseDJICare/ShieldPlusOriginalNoQuery,yes,1,200,UseDJICare,极享原单查询
POST,/api/v1/UseDJICare/SubmitBindingChange,no,0,,UseDJICare,"换绑提交 <br>修改保单关联客户的联系人姓名、当前手机号、当前邮箱，仅更新入参中非空字段<br>需传入 CraftSn、CameraSn、CertNo，并与保单 SN、凭证号一致"
POST,/api/v1/VirtualClatime/GetVirtualClatimePageList,no,0,,VirtualClatime,获取列表
POST,/api/v1/VirtualClatime/ReleasedVirtualClatime,no,0,,VirtualClatime,释放操作
POST,/api/v1/Warranty/GetInsuraceInfo,no,0,,Warranty,获取保险信息
GET,/api/v1/Warranty/QueryChinaLifeBalance,no,0,,Warranty,查询接口
POST,/api/v1/WarrantyCare/Delete,no,0,,WarrantyCare,删除延保分流配置
POST,/api/v1/WarrantyCare/LoadList,no,0,,WarrantyCare,查询列表
POST,/api/v1/WarrantyCare/Submit,no,0,,WarrantyCare,提交延保分流
POST,/api/v1/WhitePushList/LoadWhitePushList,no,0,,WhitePushList,获取白名单推送记录
POST,/api/v1/ZhongAn/CertNoInfo,no,0,,ZhongAn,根据凭证号获取众安的投保信息
GET,/api/v1/ZhongAn/MGCare,no,0,,ZhongAn,投保
POST,/api/v1/ZhongAn/MGCare,no,0,,ZhongAn,投保
GET,/api/v1/ZhongAn/QueryBalance,no,0,,ZhongAn,余额查询
POST,/api/v1/ZhongAn/QueryBalance,no,0,,ZhongAn,余额查询
POST,/api/v1/ZhongAn/UpdateSn,no,0,,ZhongAn,SN替换
GET,/swagger/api-docs,yes,1,200,SwaggerDoc,
